Date,time,humidity,temperature,pressure,gyro_pitch,gyro_roll,gyro_yaw,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,Lat_deg,lat_min,lat_sec,long_deg,long_min,long_sec
2019-04-15,01:18:28,34.91695,33.54688,34.91695,33.5436293347283,95.0241735447237,322.184432263982,32.945338914381,94.2974550774126,321.986390928997,-0.000987342558801,0.027435559779406,0.013403326272965,13.947657585144,1.07447469234467,3.88537073135376,50,46,42,16,29,37.2
2019-04-15,01:18:39,35.03938,33.54688,35.03938,1.93486431237426,209.228041015686,338.101928577508,1.92046499294341,213.529216041718,338.049737394513,-0.004689877387136,0.02792114764452,0.012428538873792,13.9452514648438,0.806930243968964,3.70625424385071,50,38,18.1,17,32,50.6
2019-04-15,01:18:50,35.21376,33.56585,35.21376,6.10160734171879,330.498001917938,304.296682507001,6.04418466070602,332.463323964812,304.360811153118,-0.004196206107736,0.02670718356967,0.016327690333128,14.1470050811768,0.923021078109741,3.28539848327637,50,29,17.1,18,35,39.7
2019-04-15,01:19:01,34.62386,33.54688,34.62386,33.4963371049151,93.9651322233457,324.155010141422,32.9643575761249,93.3510162546915,324.00525824387,-0.001234178198501,0.027192767709494,0.014621810987592,14.2075986862183,0.64660781621933,3.01097464561462,50,19,39.5,19,38,2.9
2019-04-15,01:19:12,34.84646,33.5279,34.84646,3.63381132949535,208.970023789599,340.309066641757,3.59587902016603,213.173212921798,340.148565733998,-0.002715192036703,0.028163937851787,0.011210055090487,14.310115814209,0.618493139743805,3.07625555992126,50,9,25.8,20,39,59
2019-04-15,01:19:23,34.72032,33.48996,34.72032,7.00050377894843,330.581767357919,307.836523667008,7.03060698394161,332.433166972079,307.805702438379,-0.001727849594317,0.026464389637113,0.013403326272965,14.2873229980469,0.494396209716797,2.69820117950439,49,58,36.3,21,41,26.7
2019-04-15,01:19:34,34.91695,33.5279,34.91695,34.9109273386327,94.4092857646933,328.688992165314,34.3567599403237,93.7115136390848,328.510177812843,-0.001234178198501,0.02670718356967,0.013890719972551,14.6212892532349,0.692461907863617,3.36252355575562,49,47,11.5,22,42,24.8
2019-04-15,01:19:45,34.9726,33.54688,34.9726,4.28826255340622,209.47439227867,344.827901013617,4.2689463515466,213.779323908745,344.758605329393,-0.001234178198501,0.029377900063992,0.014378113672137,14.6147508621216,0.42994087934494,3.33979988098145,49,35,12.1,23,42,52.3
2019-04-15,01:19:55,34.8984,33.60379,34.8984,8.05451423911588,329.968334408182,312.498045813272,7.98428879539074,331.784249482056,312.567184403145,-0.001727849594317,0.026949977502227,0.014865507371724,14.5755071640015,0.373095244169235,3.16565537452698,49,23,48.4,24,37,22.5
2019-04-15,01:20:06,35.02454,33.5279,35.02454,34.759136629613,94.7935385470198,333.654785578724,34.2305756105023,94.0331950584249,333.467342989784,-0.001727849594317,0.026464389637113,0.012672236189246,14.4419918060303,0.600614547729492,2.62880873680115,49,10,44.2,25,36,48.7
2019-04-15,01:20:17,34.84646,33.54688,34.84646,3.62727910732788,209.937670349693,349.369577245609,3.60301315275411,214.109071781495,349.259146747109,-0.001481013838202,0.026221597567201,0.014378113672137,14.8321561813355,0.534551918506622,2.43914985656738,48,57,6.8,26,35,41.4
2019-04-15,01:20:28,34.59047,33.56585,34.59047,8.35852083643127,330.96606795157,316.592361730101,8.32809917386803,332.801703489125,316.622967807772,-0.000987342558801,0.026221597567201,0.013159629888833,15.0987434387207,0.665683925151825,2.79197978973389,48,42,56.8,27,34,0
2019-04-15,01:20:39,34.55708,33.54688,34.55708,35.2041576049851,96.0415916932996,338.100188586817,34.6677213777615,95.3031048100486,337.91547465845,-0.002715192036703,0.02670718356967,0.014134417288005,15.087438583374,0.82055789232254,2.27087688446045,48,28,14.9,28,31,43.7
2019-04-15,01:20:50,34.54595,33.5279,34.54595,4.25291290935682,211.044324919775,352.847272648793,4.24204010197181,215.338464850962,352.807377086964,-0.001727849594317,0.026949977502227,0.013890719972551,14.7392158508301,0.739242851734161,2.33794975280762,48,13,1.5,29,28,51.9
2019-04-15,01:21:01,34.87614,33.5279,34.87614,8.19817104660782,330.982593594267,319.585979001804,8.0997437517997,332.859128304572,319.687741990248,-0.005430384073406,0.026949977502227,0.015109204687178,14.8145370483398,0.987490653991699,2.40424084663391,47,57,17.3,30,25,24
2019-04-15,01:21:12,34.5274,33.67969,34.5274,34.3542703363713,95.7008540461752,339.979735410547,33.8106999765596,94.9532830113281,339.791471491359,-0.001234178198501,0.025978805497289,0.01535290107131,14.3977212905884,1.18506860733032,2.08650803565979,47,41,2.8,31,21,19.7
2019-04-15,01:21:23,34.64241,33.69866,34.64241,3.30404296617796,209.94387216146,355.343587689009,3.30410892019213,214.2036699015,355.343845101763,-0.003455699188635,0.025978805497289,0.013647023588419,14.7766246795654,1.1710342168808,1.96025836467743,47,24,18.7,32,16,38.4
2019-04-15,01:21:34,34.65354,33.58482,34.65354,7.54972142454327,330.954733252642,322.485667512041,7.47499659370239,332.851989049342,322.564412762983,-0.004689877387136,0.026464389637113,0.014134417288005,14.7337265014648,1.31705713272095,1.71214771270752,47,7,5.5,33,11,19.9
2019-04-15,01:21:45,34.96518,33.47098,34.96518,33.1779614971333,95.5400509025455,342.691228303488,32.6675073095124,94.8191790771641,342.521078045979,-0.001234178198501,0.026949977502227,0.011941145174205,14.9637861251831,1.2447783946991,1.20720040798187,46,49,23.9,34,5,23.9
2019-04-15,01:21:56,34.99486,33.64174,34.99486,1.78575391899519,209.613892062278,358.937883812835,1.74629068679644,213.838131837499,358.776070654982,-0.003702534828335,0.025736013427377,0.014378113672137,15.4438419342041,1.25256395339966,1.51144456863403,46,31,14.4,34,58,50.2
2019-04-15,01:22:06,34.73887,33.56585,34.73887,5.61047703992032,330.701664498609,326.318247164781,5.55946363766997,332.546515668903,326.369654583569,-0.004196206107736,0.026221597567201,0.015109204687178,15.6761951446533,0.81859964132309,1.11466312408447,46,14,20.2,35,46,52.2
2019-04-15,01:22:17,34.87614,33.62277,34.87614,32.698666632506,94.4003860282047,346.405417726023,32.1865424636331,93.6286771048308,346.222630764776,-0.002962027676404,0.026949977502227,0.014378113672137,15.4629306793213,0.67604386806488,1.27996718883514,45,55,19.2,36,39,6.2
2019-04-15,01:22:28,34.76855,33.60379,34.76855,2.16038392527657,208.884783028758,2.51340566762326,2.10162487506401,213.172557223638,2.30011486809963,-0.003208863316104,0.028406729921699,0.012428538873792,15.1723375320435,1.15369701385498,1.10955727100372,45,35,52.1,37,30,42.4
2019-04-15,01:22:39,35.0839,33.50893,35.0839,5.65605958800687,330.585349792139,328.910563501989,5.69104552448297,332.334928361247,328.877833235487,-0.001974685117602,0.026949977502227,0.012672236189246,15.1277084350586,0.999690353870392,0.789013683795929,45,15,59.4,38,21,40.6
2019-04-15,01:22:50,34.8613,33.64174,34.8613,32.985811200308,93.847393422433,348.621044007863,32.3874149120286,93.154825900972,348.433225758519,-0.002468356397003,0.025736013427377,0.014865507371724,15.3138780593872,1.15731310844421,-0.082809053361416,44,55,41.8,39,12,1
2019-04-15,01:23:01,34.75,33.60379,34.75,2.95515690337371,208.631915765305,5.61984165615923,2.95159431939131,212.950480452964,5.60725532506619,-0.004936712794006,0.027192767709494,0.014378113672137,15.482400894165,1.47608733177185,-0.228800818324089,44,34,59.9,40,1,43.8
2019-04-15,01:23:12,34.94663,33.5279,34.94663,6.74418300109713,330.039668903873,332.788372667413,6.69311367667294,331.955004211307,332.843092727948,-0.003949370235205,0.026221597567201,0.015840293839574,15.2860946655273,1.9090142250061,0.707973003387451,44,13,54.1,40,50,49.1
2019-04-15,01:23:23,34.51627,33.62277,34.51627,33.2837713726606,94.5413133213496,353.043469405815,32.6872568014975,93.9002727469872,352.87035441932,-0.002715192036703,0.027192767709494,0.013890719972551,15.1920566558838,1.62658929824829,0.081230245530605,43,52,25.2,41,39,17.1
2019-04-15,01:23:34,34.86872,33.54688,34.86872,1.83458923795225,209.576585569031,9.43813212626839,1.82562376089296,213.850781347842,9.40405887382014,-0.004196206107736,0.027192767709494,0.013647023588419,15.345160484314,1.33986818790436,-0.000864478468429,43,30,33.6,42,27,8
2019-04-15,01:23:45,34.91695,33.66071,34.91695,5.85993731963717,331.655035963338,336.198346318089,5.862474308027,333.488666840372,336.195800365076,-0.001481013838202,0.026949977502227,0.010722661390901,15.5998764038086,1.42363822460175,0.08284804970026,43,8,19.9,43,14,22.2
2019-04-15,01:23:56,34.92066,33.50893,34.92066,32.6789239707101,95.5782043392492,356.59526339687,32.1429726869176,94.9181758389942,356.433613950113,-0.001974685117602,0.02670718356967,0.013890719972551,15.8187456130981,1.65896987915039,0.266061395406723,42,45,44.6,44,1,0
2019-04-15,01:24:07,33.97831,33.48996,33.97831,2.00970803119538,209.417715368937,11.6322842933581,1.96871302235355,213.751265491635,11.4925872880375,-0.001481013838202,0.026949977502227,0.015596598386765,16.2002639770508,2.0033323764801,-0.587299764156342,42,22,48.4,44,47,1.8
2019-04-15,01:24:17,35.14698,33.5279,35.14698,6.12197966157882,330.858936434438,337.518840450706,6.11383039212535,332.651587884,337.526724196555,-0.003455699188635,0.02670718356967,0.013159629888833,16.3651237487793,1.85007214546204,-0.195225030183792,42,1,39.5,45,28,21.5
2019-04-15,01:24:28,35.06535,33.60379,35.06535,33.3323271874702,94.9967025238819,356.947531897417,32.8980500996625,94.2476425077957,356.794204395834,-0.000987342558801,0.027435559779406,0.012915932573378,16.3200912475586,1.79619014263153,-0.90181040763855,41,38,4.6,46,13,15.4
